Station ID,Station Name Chinese,Station Name English,Duplicate IDS,Station Names missing,Latitude,Longitude,Lines
119,衡山路,Hengshan Road,,Hengshan Road,31.204711,121.446558,1
1625,鹤沙航城,Heshahangcheng,,,31.077434,121.60981,16
326,虹口足球场,Hongkou Football Stadium,326|839,Hongkou Football Stadium,31.271442,121.479268,3|8
839,虹口足球场,Hongkou Football Stadium,326|839,Hongkou Football Stadium,31.271442,121.479268,3|8
236,虹桥2号航站楼,Hongqiao Airport Terminal 2,236|1042,Hongqiao Airport Terminal 2,31.192922,121.326291,2|10
1043,虹桥1号航站楼,Hongqiao Airport Terminal 1,,Hongqiao Airport Terminal 1,31.191366,121.347095,10
1042,虹桥2号航站楼,Hongqiao Airport Terminal 2,236|1042,Hongqiao Airport Terminal 2,31.192922,121.326291,2|10
235,虹桥火车站,Hongqiao Railway Station,235|1041,Hongqiao Railway Station,31.192672,121.321509,2|10
1041,虹桥火车站,Hongqiao Railway Station,235|1041,Hongqiao Railway Station,31.192672,121.321509,2|10
316,虹桥路,Hongqiao Road,316|403|1049,Hongqiao Road,31.19745,121.420775,3|4|10
403,虹桥路,Hongqiao Road,316|403|1049,Hongqiao Road,31.19745,121.420775,3|4|10
1049,虹桥路,Hongqiao Road,316|403|1049,Hongqiao Road,31.19745,121.420775,3|4|10
744,后滩,Houtan,,Houtan,31.171874,121.47392,7
,,,,Hulan Road,31.339881,121.437723,1
753,花木路,Huamu Road,,Huamu Road,31.211212,121.562792,7
846,黄兴公园,Huangxing Park,,Huangxing Park,31.295803,121.533146,8
844,黄兴路,Huangxing Road,,Huangxing Road,31.278784,121.528368,8
511,华宁路,Huaning Road,,Huaning Road,31.007379,121.395271,5
1114,花桥,Huaqiao,,Huaqiao,31.298943,121.102407,11
1629,惠南,Huinan,,,31.053801,121.762136,16
134,呼兰路,Hulan Road,,,31.339971,121.437672,1
1238,国际客运中心,International Passenger Transport Center,,,31.249963,121.498092,12
1134,嘉定新城,Jiading Xincheng,,Jiading Xincheng,31.330062,121.254342,11
508,剑川路,Jianchuan Road,,Jianchuan Road,31.026424,121.41653,5
1241,江浦公园,Jiangpu Park,,,31.264585,121.523737,12
843,江浦路,Jiangpu Road,,Jiangpu Road,31.274954,121.518448,8
242,江苏路,Jiangsu Road,242|1147,Jiangsu Road,31.220518,121.430676,2|11
1147,江苏路,Jiangsu Road,242|1147,Jiangsu Road,31.220518,121.430676,2|11
1065,江湾体育场,Jiangwan Stadium,,Jiangwan Stadium,31.303177,121.514335,10
329,江湾镇,Jiangwan Town,,Jiangwan Town,31.305514,121.485083,3
822,江月路,Jiangyue Road,,Jiangyue Road,31.084285,121.508583,8
1050,交通大学,Jiaotong university,1050|1148,Jiaotong University,31.202265,121.435259,10
1148,交通大学,JiaoTong University,1050|1148,Jiaotong University,31.202265,121.435259,10
936,嘉善路,Jiashan Road,,Jiashan Road,31.202846,121.460872,9
243,静安寺,Jing'an Temple,243|739,Jing'an Temple,31.223201,121.446441,2|7
739,静安寺,Jing'an Temple,243|739,Jing'an Temple,31.223201,121.446441,2|7
1251,金海路,Jinhai Road,,,31.263446,121.638443,12
114,锦江乐园,Jinjiang Park,,Jinjiang Park,31.14196,121.413956,1
1249,金京路,Jinjing Road,,,31.279822,121.615501,12
254,金科路,Jinke Road,,Jinke Road,31.204215,121.602039,2
510,金平路,Jinping Road,,Jinping Road,31.011129,121.410182,5
638,金桥路,Jinqiao Road,,Jinqiao Road,31.257178,121.581904,6
319,金沙江路,Jinshajiang Road,319|406|1327,Jinshajiang Road,31.23225,121.413245,3|4|13
406,金沙江路,Jinshajiang Road,319|406|1327,Jinshajiang Road,31.23225,121.413245,3|4|13
1327,金沙江路,Jinshajiang Road,319|406|1327,Jinshajiang Road,31.23225,121.413245,3|4|13
750,锦绣路,Jinxiu Road,,Jinxiu Road,31.18759,121.540035,7
1321,金运路,Jinyun Road,,Jinyun Road,31.241074,121.320335,13
926,九亭,Jiuting,,Jiuting,31.137548,121.319363,9
641,巨峰路,Jufeng Road,641|1247,Jufeng Road,31.280676,121.588449,6
1247,巨峰路,Jufeng Road,641|1247,Jufeng Road,31.280676,121.588449,6
419,蓝村路,Lancun Road,419|630,Lancun Road,31.211848,121.527741,4|6
630,蓝村路,Lancun Road,419|630,Lancun Road,31.211848,121.527741,4|6
735,岚皋路,Langao Road,,Langao Road,31.255864,121.421788,7
833,老西门,Laoximen,833|1054,Laoximen,31.218871,121.482946,8|10
1054,老西门,Laoximen,833|1054,Laoximen,31.218871,121.482946,8|10
821,联航路,Lianhang Road,,Lianhang Road,31.073599,121.510549,8
113,莲花路,Lianhua Road,,Lianhua Road,31.131004,121.402943,1
1632,临港大道,Lingang Avenue,,,30.924195,121.910075,16
260,凌空路,Lingkong Road,,Lingkong Road,31.192637,121.722833,2
825,凌兆新村,Lingzhao Xincun,,Lingzhao Xincun,31.141343,121.489653,8
413,临平路,Linping Road,,Linping Road,31.260872,121.500663,4
628,临沂新村,Linyi Xincun,,Linyi Xincun,31.193326,121.516905,6
724,刘行,Liuhang,,Liuhang,31.357569,121.36241,7
1141,李子园,Liziyuan,,Liziyuan,31.269025,121.389973,11
1020,龙柏新村,LongBai Xincun,,Longbai Xincun,31.176833,121.370426,10
313,龙漕路,Longcao Road,,Longcao Road,31.169454,121.44439,3
1243,隆昌路,Longchang Road,,,31.275362,121.54489,12
1146,隆德路,Longde Road,1146|1328,Longde Road,31.230513,121.423572,11
1328,隆德路,Longde Road,1146|1328,Longde Road,31.230513,121.423572,11
1151,龙华,Longhua,,,31.172576,121.452835,11
1045,龙溪路,Longxi Road,,Longxi Road,31.194413,121.380057,10
252,龙阳路,Longyang Road,252|752|1621,Longyang Road,31.203191,121.557644,2|7|Maglev
752,龙阳路,Longyang Road,252|752|1621,Longyang Road,31.203191,121.557644,2|7|Maglev
1621,龙阳路,Longyang Road,252|752|1621,Longyang Road,31.203191,121.557644,2|7|Maglev
1153,龙耀路,Longyao Road,,,31.15984,121.459779,11
240,娄山关路,Loushanguan Road,,Loushanguan Road,31.211157,121.404007,2
423,鲁班路,Luban Road,,Luban Road,31.199192,121.474977,4
824,芦恒路,Luheng Road,,Luheng Road,31.11917,121.497777,8
832,陆家浜路,Lujiabang Road,832|939,Lujiabang Road,31.211763,121.486112,8|9
939,陆家浜路,Lujiabang Road,832|939,Lujiabang Road,31.211763,121.486112,8|9
247,陆家嘴,Lujiazui,,Lujiazui,31.238205,121.502315,2
722,罗南新村,Luonan Xincun,,Luonan Xincun,31.388747,121.357446,7
1160,罗山路,Luoshan Road,1160|1623,,31.152139,121.593653,11|16
1623,罗山路,Luoshan Road,1160|1623,,31.152139,121.593653,11|16
938,马当路,Madang Road,,Madang Road,31.209344,121.476489,9
1135,马陆,Malu,,Malu,31.319492,121.276855,11
721,美兰湖,Meilan Lake,,Meilan Lake,31.401735,121.350117,7
257,创新中路,Middle Chuangxin Road,,Middle Chuangxin Road,31.213863,121.67374,2
1622,华夏中路,Middle Huaxia Road,,,31.175139,121.583297,16
743,龙华中路,Middle Longhua Road,,Middle Longhua Road,31.184826,121.457266,7
943,杨高中路,Middle Yanggao Road,,Middle Yanggao Road,31.227522,121.548676,9
845,延吉中路,Middle Yanji Road,,Middle Yanji Road,31.288331,121.534945,8
513,闵行开发区,Minhang Development Zone,,Minhang Development Zone,31.00053,121.369781,5
634,民生路,Minsheng Road,,Minsheng Road,31.235845,121.543573,6
728,南陈路,Nanchen Road,,Nanchen Road,31.321743,121.398774,7
421,南浦大桥,Nanpu Bridge,,Nanpu Bridge,31.208468,121.499378,4
1137,南翔,Nanxiang,,Nanxiang,31.296862,121.323296,11
848,嫩江路,Nenjiang Road,,Nenjiang Road,31.314794,121.531957,8
1242,宁国路,Ningguo Road,,,31.268804,121.532758,12
1131,嘉定北,North Jiading,,North Jiading,31.391516,121.237331,11
339,江杨北路,North Jiangyang Road,,North Jiangyang Road,31.407792,121.439473,3
1058,四川北路,North Sichuan Road,,North Sichuan Road,31.251982,121.483815,10
647,外高桥保税区北站,North Waigaoqiao Free Trade Zone,,North Waigaoqiao Free Trade Zone,31.347831,121.586919,6
838,西藏北路,North Xizang Road,,North Xizang Road,31.263529,121.468789,8
1248,杨高北路,North Yanggao Road,,,31.280097,121.603246,12
127,中山北路,North Zhongshan Road,,North Zhongshan Road,31.258764,121.459229,1
621,东方体育中心,Oriental Sports Center,621|826|1154,Oriental Sports Center,31.152897,121.480009,6|8
826,东方体育中心,Oriental Sports Center,621|826|1154,Oriental Sports Center,31.152897,121.480009,6|8
1154,东方体育中心,Oriental Sports Center,621|826|1154,Oriental Sports Center,31.152897,121.480009,6|8
723,潘广路,Panguang Road,,Panguang Road,31.364174,121.355842,7
131,彭浦新村,Pengpu Xincun,,Pengpu Xincun,31.30659,121.448637,1
123,人民广场,People's Square,123|245|835,People's Square,31.232812,121.475372,1|2|8
245,人民广场,People's Square,123|245|835,People's Square,31.232812,121.475372,1|2|8
835,人民广场,People's Square,123|245|835,People's Square,31.232812,121.475372,1|2|8
418,浦电路,Pudian Road,418|631,Pudian Road,31.222353,121.532047,4
631,浦电路,Pudian Road,418|631,Pudian Road,31.220152,121.529107,6
416,浦东大道,Pudong Avenue,,Pudong Avenue,31.240008,121.519384,4
263,浦东国际机场,Pudong International Airport,,Pudong International Airport,31.150456,121.805867,2| Maglev 
823,浦江镇,Pujiang Town,,Pujiang Town,31.096259,121.506393,8
1157,浦三路,Pusan Road,,,31.15085,121.538825,11
928,七宝,Qibao,,Qibao,31.155541,121.349635,9
726,祁华路,Qihua Road,,,31.322703,121.375804,7
1140,祁连山路,Qilianshan Road,,Qilianshan Road,31.271643,121.375962,11
836,曲阜路,Qufu Road,836|1236,Qufu Road,31.24233,121.471591,8
1236,曲阜路,Qufu Road,836|1236,Qufu Road,31.24233,121.471591,8
840,曲阳路,Quyang Road,,Quyang Road,31.276525,121.490712,8
1155,三林,Sanlin,,,31.143027,121.510789,11
1066,三门路,Sanmen Road,,Sanmen Road,31.313151,121.508298,10
941,商城路,Shangcheng Road,,Shangcheng Road,31.230385,121.516188,9
729,上大路,Shangda Road,,Shangda Road,31.314796,121.408642,7
1118,上海汽车城,Shanghai Automobile City,,Shanghai Automobile City,31.285391,121.180824,11
629,上海儿童医学中心,Shanghai Children's Medical Center,,Shanghai Children's Medical Center,31.203254,121.523476,6
1120,上海赛车场,Shanghai Circuit,,Shanghai Circuit,31.331861,121.226056,11
129,上海马戏城,Shanghai Circus World,,Shanghai Circus World,31.279554,121.452049,1
